ich	I
kostenlos	free (of charge)
Romanze	romance
Misstrauen	distrust
klappern	rattle; rattling
Mordfall	murder case
ihretwegen	for her
Terrasse	terrace
Eitelkeit	vanity
Übergabe	handover, delivery
(he)reinziehen	get involved (coll)
effektiv	effective; effectively
antreiben	drive, power
Geldbeutel	wallet
Handbuch	manual
identisch	identical; identically
Sammler	collector
surfen	surf; surfing
Moschee	mosque
adoptieren	adopt
siebter	seventh
betrügen	deceive
herauskommen	come out
solide	solid; solidly
verachten	despise
gewissermaßen	virtually
zornig	furious; furiously
ansteckend	contagious
hingegen	on the other hand; however
viermal	four times
Dock	dock
hartnäckig	persistent; obstinately
gezielt	targeted; purposefully
Kuckuck	cuckoo
Krüppel	cripple (coll)
sympathisch	nice, nicely
Umfeld	environment
Terminal	terminal
Klan	clan
Level	level
(he)rumhängen	hang out (coll)
Neuanfang	fresh start
einbringen	introduce; introduction
schwindelig	dizzy; dizzily
loben	praise
machtlos	powerless; helplessly
verfallen	expire; expired
Aufführung	performance
Heimweh	homesickness
auslassen	omit
Leistung	performance
Riese	giant, whopper
dastehen	stand there
Verleger	publisher
Staunen	amazement, wonder
liebenswürdig	gracious; graciously
nachgeben	give in
beruhigend	soothing; reassuringly
ausgelassen	exuberant; exuberantly
profitieren	benefit
eindringlich	strongly; urgent
auswählen	select
hintereinander	in a row
verheimlichen	conceal
Streitkräfte	armed forces
Schmied	blacksmith
voraussetzen	assume, require
Transporter	van
verstreuen	scatter
Handvoll	handful
Spital	hospital
Schloss	lock, castle
Sekt	champagne
gießen	pour
unerhört	outrageous outrageously
Gesichtsausdruck	expression
geheimnisvoll	mysteriously; mysterious
Debatte	debate
wegrennen	run away
Erzbischof	archbishop
vorerst	for the time being
Potential	capability, potential
herschicken	send (over)
Entführer	kidnapper
Weihnachtsgeschenk	Christmas present
austauschen	exchange
Mandant	client
Gurt	belt
Lenkrad	(steering) wheel
präzise	precise; precisely
widersprechen	contradict
türkisch	Turkish
Quarterback	quarterback
Rumpf	hull
Gebot	bid, command
monatelang	for months
befassen	deal
unversehrt	intact
Trompete	trumpet
Einbildung	imagination
Komplikation	complication
zurichten	prepare, hurt
überwältigt	overwhelmed
reizen	irritate, provoke
Stiefmutter	stepmother
befriedigen	satisfy
Flüchtling	refugee
beschatten	tail, shade
öde	bleak; bleakly; wasteland
ungeschickt	clumsy; clumsily
korrigieren	correct
Desaster	disaster
draufgehen	get killed (coll)
jetzig	present
Südafrika	South Africa
transportieren	transport
Konzern	group, corporation
Reaktor	reactor
Alarmanlage	alarm
Einkaufszentrum	mall
ausflippen	flip (coll)
schräg	diagonally; diagonal
wegkommen	get away
Rubel	ruble
umkommen	die
stillhalten	stand still
Gegenleistung	consideration, return service
anstoßen	drink to, nudge
einstecken	insert
einschüchtern	intimidate
begrenzt	limited; terminally
Beleuchtung	lighting
Verlegenheit	embarrassment
bezeugen	testify, witness
Rennbahn	(race) track
notieren	note
Kalb	calf
Kurier	courier
weiterfahren	drive on
Formation	formation
klarmachen	make clear
griechisch	Greek
Atemzug	breath
schrauben	screw; spiral
Spot	commercial
Tresorraum	vault
Fax	fax
Jahrestag	anniversary
zurückzahlen	pay back
Flinte	shotgun
erfreuen	please; enjoy
saugen	suck
Strumpf	stocking
Fackel	torch
Option	option
grauenvoll	horrid; horridly
Amateur	amateur
höllisch	hellish; horribly
getrauen	dare
Einkommen	income
sofortig	instant
Missachtung	contempt
zuverlässig	reliable; reliably
vorläufig	provisionally; provisional
anstrengen	strain; try hard
beladen	load; loading
ausfüllen	fill
Vorurteil	prejudice
leidenschaftlich	passionate; passionately
Ferkel	piglet
Mehrheit	majority
Hähnchen	chicken
polieren	polish; polishing
farbig	colored
versiegeln	seal
moralisch	morally; moral
giftig	poisonous
Coup	coup
Syndikat	syndicate
vergießen	spill
Lebensform	form of life
Designer	designer
korrupt	corrupted
Standard	standard
erweitern	expand
(he)rumsitzen	sit around
Spitzname	nickname
spitz	pointed; tip (AT)
Quote	quota
besetzen	occupy, cast
zauberhaft	enchanting; enchantingly
rothaarig	redheaded
Hypothek	mortgage
Investition	investment
Offenbarung	revelation
geboren	born
beschränken	confine
Gegenmittel	antidote
verriegeln	latch
äußern	express
Haustier	pet
erfrieren	freeze to death
Gutachten	report
widersetzen	resist
Zulassung	approval
Maschinengewehr	machine gun
Fallschirm	parachute
europäisch	European
vornehmen	make, carry out
installieren	install
verüben	commit
Sicherung	fuse, securing
exzellent	excellent; excellently
These	thesis
anonym	anonymous; anonymously
Elite	elite
hüpfen	hop
Pulli	jumper (coll)
Ostern	Easter
Drehung	rotation
Norm	norm
ultimativ	ultimate; ultimately
Visitenkarte	business card
grillen	barbecue
fernhalten	keep away
Mordkommission	homicide (squad)
zunehmen	increase
Dänemark	Denmark
flirten	flirt
Hindernis	obstacle
Schwiegersohn	soninlaw
Strömung	flow
preisen	praise
vorhanden	available
herüber	over
Notizbuch	notebook
Unterschlupf	shelter
Pakt	pact
erhören	hear
zitieren	quote
buh	boo
anhand	based on
fördern	promote
verhexen	jinx
inne	aware (fml); within
Katalog	catalogue
zusammenbleiben	stay together
simpel	simple; simply
Beteiligung	participation
schnarchen	snore
Philosoph	philosopher
Ventil	valve
Brocken	chunk
wiedergeboren	reborn
stressen	stress (coll)
Wanze	bug
bündeln	bundle
Automat	machine
einbrocken	get in trouble (coll)
(he)raushalten	keep out of
wegbringen	take away
Plätzchen	spot; cookie
aufspüren	detect
befestigen	attach, secure
Menü	menu
trocknen	dry
zurückbleiben	remain
verheiratet	married
Bereitschaft	willingness
vortreten	step forward
betonen	emphasize
primitiv	primitive; primitively
angucken	look at (coll)
Casanova	lover boy
abstoßend	repulsive; repulsively
zweieinhalb	two and a half
Lotto	lottery
Parasit	parasite
unklar	unclear; obscurely
Feiertag	holiday
umfallen	fall down, capitulate (coll)
Wasserfall	waterfall
texten	text
fies	nasty (coll)
Korn	grain
kurzfristig	short; quickly
Gunst	favor
Schwangerschaft	pregnancy
Kakerlak	cockroach
Lichtgeschwindigkeit	light speed
Astronaut	astronaut
Erwärmung	warming
Nicaragua	Nicaragua
zuschauen	watch
Spritztour	joy ride (coll)
scheu	shy; awe
vermischen	mingle
Nervensäge	nag (coll)
gequält	haunted
Skorpion	skorpion
Kanzlei	office
vormachen	fool; show
stillstehen	stand still
Bankräuber	bank robber
auskommen	get along
Haushalter	housekeeper
Genuss	enjoyment
betrübt	saddened; sadly
hochziehen	pull up
geradewegs	straight
gehorsam	obedient; obedience
befugen	authorize
Freundlichkeit	kindness
mitkriegen	realize (coll)
ausrutschen	slip
einsehen	see, recognize
fetzen	shred
Hinterkopf	back of the head
Pärchen	couple
davonkommen	get away
Schacht	shaft, well
belasten	burden
suspendieren	suspend
Gewahrsam	custody
zwitschern	chirp; tweet
ausbuchen	book out, write off
Ausfahrt	exit, drive
Krankenstation	infirmary
einsatzbereit	operational
polnisch	Polish
Punk	punk
eintragen	enter
Initiative	initiative
Dasein	existence
Träumer	dreamer
Glücksbringer	lucky charm
beinhalten	contain
ausschließlich	exclusively; exclusive
unmoralisch	immoral; immorally
booten	boot
einliefern	hospitalize
Beule	bump
stolpern	stumble
gegeneinander	against each other
Kolumne	column
wohlauf	well
Handwerk	craft
abkriegen	get (coll)
Behinderung	disability, obstruction
aufsehen	look up; sensation
Anzahlung	deposit
Auskunft	information
ausfallen	fail, fall out
Aufklärung	enlightenment, education
Psychopath	psychopath
zerfetzen	shred
Hexerei	witchcraft
Vulkan	volcano
Anschein	appearance
vorbeischauen	stop by
ablaufen	run, expire
Verzögerung	delay
Entsetzen	horror, appall
Gleis	track, platform
unterdrücken	suppress
tausendmal	a thousand times
Ochse	ox
Chauffeur	chauffeur
Angeber	showoff
Krokodil	crocodile
schmieren	grease
schnellstens	as soon as possible
Riegel	latch
Flora	flora
unverändert	unchanged
universal	universal; universally
Unterbrechung	interruption
düster	gloomy; gloomily
beschlagnahmen	confiscate
finster	sinister; gloomily
kritisieren	criticize
ausstellen	exhibit, issue
Ausschuss	committee
anmelden	register
Vormittag	morning
Krug	jug
frustrieren	frustrate
Konvoi	convoy
unvorstellbar	incredible; incredibly
schwellen	swell
Inder	Indian
kreuzen	cross
Propaganda	propaganda
Übergang	transition
Serienmörder	serial killer
lesbisch	lesbian
Hockey	hockey
Hausfrau	housewife
klarkommen	get along (coll)
erreichbar	accessible
Körperverletzung	assault
wählerisch	picky
verantworten	answer (for)
abhören	eavesdrop; eavesdropping
Engagement	commitment
Glücksspiel	gambling
versäumen	miss, fail
Großbritannien	Great Britain
rucken	jolt
verschütten	spill
erstmals	first
aufteilen	split (up)
voreilig	premature; prematurely
Übung	practice
respektlos	disrespectful; disrespectfully
heimgehen	go home
Kusine	cousin
Rebellion	rebellion
hinnehmen	accept, put up with
losfahren	set off
Spieß	skewer
katholisch	Catholic
Anschuldigung	accusation
Architektur	architecture
Schwimmbad	swimming pool
Ketchup	ketchup
durchschneiden	cut through
Verachtung	contempt
Seufzer	sigh
Dorfbewohner	villager
anschnallen	buckle (up)
Kreislauf	circulation
furzen	fart (coll)
Kolonie	colony
sticken	embroider; embroidery
Sichtkontakt	visual
berechnen	calculate, charge
beschämen	embarrass
Unterdrückung	repression
auferstehen	(a)rise
Kündigung	dismissal, resignation
Abgeordnete	representative
Pinsel	brush
ausnehmen	exclude
ausdrücklich	expressly; express
gebühren	be due
unbemerkt	unnoticed
erstellen	create
Brigade	brigade
Gips	(plaster) cast
Abendbrot	supper
Schick	style; chic
Teleskop	telescope
Kröte	toad
missverstehen	misunderstand
demütigen	humiliate
Schiedsrichter	referee
Kode	code
spätestens	at the latest
erforderlich	required, necessary
Revolver	revolver
Musical	musical
ausweisen	expel; identify
liebevoll	lovingly; loving
durchatmen	breathe
Perfektion	perfection
Taschentuch	handkerchief
Halluzination	hallucination
wiehern	whinny
Überprüfung	review
irgendwoher	from somewhere
bedeutungslos	meaningless
nahezu	almost
schubsen	nudge, push (coll)
Widerspruch	contradiction
säubern	clean
Antlitz	face (fml)
kostbar	precious; preciously
Walzer	waltz
Merkmal	feature
Schwiegervater	fatherinlaw
grundlos	groundless; unfoundedly
dranbleiben	hang on (coll)
nachschauen	look up
Maschinenraum	engine room
verfehlen	miss
mysteriös	mysterious; mysteriously
Präsentation	presentation
wachsam	alert; attentively
Lungenentzündung	pneumonia
Sanatorium	sanatorium
zerquetschen	crush
Unruhe	unrest
Urkunde	deed, document
Nachthemd	nightgown
Baumwolle	cotton
Trinker	drinker
undankbar	ungrateful; ungratefully
Jahrgang	year, vintage
abstimmen	vote
wörtlich	literally; literal
Hausarbeit	homework
mithalten	keep up
verärgern	annoy
durchbrechen	break
vertuschen	cover up
Insasse	inmate
Institution	institution
grunzen	grunt
aufreißen	rip
Krater	crater
deprimierend	depressing; depressingly
Kopfhörer	headphone
stauen	jam
Sensor	sensor
lutschen	suck
massieren	massage
Fürsorge	care
Untertan	subject
mild	mild; softly
währenddessen	meanwhile
Befehlshaber	commander
unterhalb	below
auspacken	unpack
wahrhaft	truly; true
zusagen	accept, promise
gänzlich	completely, sheer
rückgängig	undone
platzieren	place
oberflächlich	superficial; superficially
roh	raw; roughly
Partnerschaft	partnership
Diskretion	discretion
Wäscherei	laundry
Quarantäne	quarantine
nimmer	never (AT)
Kleinstadt	(small) town
eineinhalb	one and a half
Aquarium	aquarium
Flöte	flute
Beweismaterial	evidence
Atombombe	atom bomb
zuteilen	assign
Masche	scam (coll)
Tau	dew; rope
kreischen	shriek
ironisch	ironic; ironically
Aufstellung	list
Erleuchtung	enlightenment
Urin	urine
genetisch	genetically; genetic
Hoden	testicle
weichen	yield, soak
Legion	legion
aufzeichnen	record, draw
heiter	cheerful; cheerfully
weitergeben	pass
Darbietung	performance
Oberin	matron
tauen	thaw
Fassade	facade
reservieren	reserve
Auktion	auction
Anteil	share
kaltblütig	coldblooded; coolly
übermitteln	convey
Aspekt	aspect
kränken	offend, hurt
Yacht	yacht
Zusammenleben	living together; coexist
Kralle	claw
(he)runtergehen	go down
Sträfling	convict
Hektar	hectare
ausschließen	rule out
gebrochen	broken; brokenly
Banane	banana
verjagen	scare off
Gewissheit	certainty
krallen	claw
hinstellen	put (down)
Verschluss	shutter
intern	internal; internally
Balance	balance
Initiale	initial
Zünder	detonator
verabscheuen	detest
brennend	burning; keenly
Heiligabend	Christmas Eve
Auftraggeber	client
Manöver	maneuver
Beweisstück	exhibit
Shampoo	shampoo
grauenhaft	atrocious; horrifically
Freak	freak
Ufo	UFO
Fledermaus	bat
improvisieren	improvise
Franzose	Frenchman
historisch	historical; historically
Taste	button
spülen	rinse
Tyrannei	tyranny
Partei	party
vorführen	show
festlegen	set
ankündigen	announce
Kopfweh	headache (coll)
verrotten	rot
veranlassen	arrange
Gänsehaut	goosebumps
Kristall	crystal(ware); crystal
stinkend	stinky
Zerstörer	destroyer
Besserung	improvement, recovery
speichern	save
Vitamin	vitamin
Abwehr	defense
originell	original; originally
erschreckend	frightening; alarmingly
Verbrennung	burn
himmlisch	heavenly
neuerdings	lately
Hausarrest	house arrest
verfassen	write, compile
einreichen	submit
aufessen	eat up
Entzug	withdrawal
bekloppt	daft (coll)
Schlips	tie (coll)
unbesiegbar	invincible
zusammenschlagen	beat up
elektronisch	electronic; electronically
Sucher	seeker
Bluff	bluff
Schuft	villain
hinkommen	get
artig	good
vierzehn	fourteen
blank	bare, broke (coll)
abbekommen	get
Anliegen	concern; be in contact
ehrgeizig	ambitious; ambitiously
pflücken	pick
Temperament	temper
Ferngespräch	longdistance call
Weide	meadow, willow
Abfindung	compensation
Arroganz	arrogance
erlösen	redeem
Süd	south
höchstpersönlich	personally
Genie	genius
gemischt	mixed
vertauschen	exchange
Kürbis	pumpkin
Durchreise	transit
Ostküste	east coast
abbiegen	turn
verschlafen	sleepy; oversleep; sleepily
Teilchen	particle
neigen	incline
Park	park
kitzeln	tickle
pur	pure, neat
zurückfahren	go back
Krabbe	crab
Zivilist	civilian
Einfahrt	driveway
Vorspiel	foreplay
stationieren	deploy
wochenlang	for weeks; weeklong
einbauen	install
Sauna	sauna
Föderation	federation
hingehören	belong (coll)
einfrieren	freeze
Wohlergehen	welfare
verlockend	tempting; temptingly
hinfallen	fall (down)
aufschlitzen	slit
erlaubt	allowed
geschweige	let alone
Umweg	detour
abwerfen	discard
Melone	melon
poltern	rumble; cluttering
Razzia	(police) raid
Bewunderung	admiration
Meuterei	mutiny
Dilemma	dilemma
tabu	taboo
beitreten	join
Bescheidenheit	modesty
Eiche	oak
List	ruse
bessern	do better
Salami	salami
versehentlich	inadvertently; inadvertent
mittendrin	in the middle
Gag	joke
verarbeiten	process
rankommen	get
ausrasten	snap (coll)
Campus	campus
Symptom	symptom
Waise	orphan
Palästina	Palestine
Umlaufbahn	orbit
physisch	physically; physical
anwenden	apply, operate
steigern	increase
Erbse	pea
Nebenwirkung	side effect
Ausgangssperre	curfew
ineinander	into each other
kommend	next
meilenweit	for miles
optimistisch	optimistic; optimistically
entscheidend	crucial; conclusively
Skulptur	sculpture
beschießen	fire
Schaukel	swing
weitaus	far, much
abgehen	leave; departure
schmuggeln	smuggle
erwürgen	strangle
abtreten	resign
Referenz	reference
überstürzen	rush
beitragen	contribute
andernfalls	otherwise
lindern	alleviate
mehrfach	multiple, several times
Rind	beef
Mitbürger	fellow citizen
Halsband	collar, necklace
Satz	sentence, set
spannungsgeladen	electric, tense
woraus	of what
Faktor	factor
vergrößern	increase
nacheinander	successively
Regenschirm	umbrella
Belastung	burden
saubermachen	clean
Alptraum	nightmare
gleiten	slide
Premier	Prime Minister; führend
Versorgung	supply, care
Dynastie	dynasty
biologisch	biological, biologically
mobil	mobile
freigeben	release
Klo	loo (coll)
Prototyp	prototype
Übereinstimmung	accordance, agreement
unterwerfen	subject; capitulate
Fingernagel	fingernail
ausatmen	exhale
Hüter	guardian
Bann	spell, ban
verzerren	distort
schaukeln	rock
Entschädigung	compensation
zahlreich	numerous
Leichenhalle	morgue
auslachen	laugh at
(he)rüberkommen	come over
Schwächling	weakling
zivilisiert	civilized
zuversichtlich	confident; confidently
Sensation	sensation
stiften	donate
Lok	engine
Pfeffer	pepper
Hirte	shepherd
zurechtkommen	manage
Habgier	greed
Knecht	servant
Krähe	crow
bergab	downhill
Schicht	layer, shift
anerkannt	recognized
verlängern	extend
Marschall	marshal
Beherrschung	control
verblüffend	striking; strikingly
chaotisch	chaotic, chaotically
Hypnose	hypnosis
Mittelalter	Middle Ages
sterblich	mortal
senken	reduce
Erdnussbutter	peanut butter
Spind	locker
überwältigend	overwhelming; overwhelmingly
Sonnensystem	solar system
ägyptisch	Egyptian
Kunde	customer
Schlaftablette	sleeping pill
Untergrund	underground
Schutzengel	guardian angel
bekennen	confess
Glied	limb
verzaubern	enchant
untreu	unfaithful; unfaithfully
vorziehen	prefer
geisteskrank	insane
Held	hero
verstört	distraught; haggardly
schaufeln	shovel
Abstimmung	vote
Protest	protest
jährlich	annual; annually
Wähler	voter
eliminieren	eliminate
schnüffeln	snoop
Stempel	seal, stamp
demonstrieren	demonstrate
flicken	mend
sogenannt	socalled
Brandstiftung	arson
faulen	rot
stempeln	stamp
weiterhelfen	help (along)
